Affine/Q4
VSG [pixels];Selected Point Strain component: Eyy
25;0.248480215668678
27;0.26884862780571
29;0.277879953384399
31;0.199467569589615
33;0.199908673763275
35;0.226497709751129
35;0.198092713952065
37;0.234639719128609
37;0.1977249532938
39;0.234107345342636
39;0.197358667850494
41;0.199043348431587
41;0.186479479074478
41;0.194936066865921
43;0.198432177305222
43;0.182413503527641
43;0.192957475781441
45;0.212179809808731
45;0.198208257555962
45;0.180980697274208
45;0.191542655229568
47;0.215509206056595
47;0.198573246598244
47;0.179375603795052
47;0.18942990899086
49;0.211923837661743
49;0.191946685314178
49;0.17682971060276
49;0.187825739383698
51;0.192558079957962
51;0.182992562651634
51;0.174391433596611
51;0.185961812734604
53;0.19036565721035
53;0.181333288550377
53;0.173138573765755
55;0.195241943001747
55;0.189749926328659
55;0.181152492761612
55;0.172375977039337
57;0.19565686583519
57;0.189132288098335
57;0.180247887969017
57;0.170770362019539
59;0.193079382181168
59;0.183211371302605
59;0.178899496793747
59;0.166973650455475
61;0.184077858924866
61;0.169040828943253
61;0.176578834652901
61;0.154520228505135
61;0.176467061042786
61;0.162669599056244
63;0.181999191641808
63;0.167130351066589
63;0.175097227096558
63;0.154282227158546
65;0.180162906646729
65;0.181408569216728
65;0.166584193706512
65;0.175091505050659
65;0.153887346386909
67;0.179855138063431
67;0.180538028478622
67;0.166055381298065
67;0.174286216497421
67;0.153171434998512
69;0.178117051720619
69;0.175860390067101
69;0.164643779397011
69;0.171781808137894
69;0.15220533311367
71;0.172868564724922
71;0.170676618814468
71;0.162811830639839
71;0.167994603514671
71;0.151044234633446
73;0.171172112226486
73;0.168961629271507
73;0.161778211593628
75;0.166055396199226
75;0.170534729957581
75;0.168581411242485
75;0.161027461290359
77;0.165731206536293
77;0.169775575399399
77;0.167617917060852
77;0.159586474299431
79;0.164726480841637
79;0.167089715600014
79;0.165079563856125
79;0.156836658716202
81;0.161655336618423
81;0.150468215346336
81;0.163913071155548
81;0.161696135997772
81;0.153631702065468
83;0.160613015294075
83;0.14926090836525
83;0.162490785121918
85;0.160104215145111
85;0.148746713995934
85;0.161858156323433
87;0.159464865922928
87;0.148344099521637
87;0.160739898681641
89;0.157682821154594
89;0.147713512182236
89;0.158429577946663
91;0.155378669500351
91;0.146750524640083
91;0.136270761489868
91;0.155593141913414
93;0.154144689440727
93;0.146086946129799
93;0.136027604341507
95;0.153400808572769
95;0.145387351512909
95;0.135520279407501
97;0.152382656931877
97;0.144187524914742
97;0.134656623005867
99;0.150712415575981
99;0.142119631171227
99;0.133487969636917
101;0.131883978843689
101;0.148698449134827
101;0.139914408326149
101;0.132317647337914
103;0.131278768181801
105;0.130933076143265
107;0.130674198269844
109;0.130350723862648
111;0.129782617092133
113;0.129334509372711
115;0.128786221146584
117;0.1279386729002
119;0.12668015062809
121;0.115626193583012
121;0.115979313850403
121;0.125397950410843
123;0.115236386656761
123;0.11576559394598
125;0.114977076649666
125;0.11539414525032
127;0.11478304117918
127;0.11484607309103
129;0.114596247673035
129;0.114142701029778
131;0.114284761250019
131;0.11338134855032
133;0.114001058042049
135;0.113630287349224
137;0.11307517439127
139;0.112308457493782
141;0.10209708660841
141;0.111553229391575
143;0.101875431835651
145;0.101723380386829
147;0.101596377789974
149;0.101464472711086
151;0.101261980831623
151;0.0979373157024384
153;0.101065471768379
153;0.0978107899427414
155;0.100820071995258
155;0.0975989401340485
157;0.100461959838867
157;0.0972989797592163
159;0.09998519718647
159;0.0968980491161346
161;0.0995103269815445
161;0.0964474454522133
181;0.0835880488157272
183;0.0834988430142403
185;0.0833658874034882
187;0.0832003355026245
189;0.0829876586794853
191;0.0827436000108719
211;0.0724723115563393
213;0.0724072754383087
215;0.0723220482468605
217;0.0722254440188408
219;0.0720973759889603
221;0.0719559341669083
