Affine/Q4
Subset [pixels];Selected Point Horizontal Displacement: U
15;41.2454452514648
17;41.2681846618652
19;41.2714347839355
21;41.2394599914551
23;41.1969299316406
15;41.2454452514648
25;41.2000770568848
17;41.2681846618652
27;41.2034225463867
19;41.2714347839355
29;41.2067070007324
21;41.2394599914551
21;41.2040634155273
31;41.1988639831543
23;41.1969299316406
23;41.2025527954102
33;41.1946411132813
15;41.2454452514648
25;41.2000770568848
25;41.2052993774414
35;41.1995315551758
17;41.2681846618652
27;41.2034225463867
27;41.2093620300293
37;41.2027206420898
19;41.2714347839355
29;41.2067070007324
29;41.20751953125
39;41.2000617980957
21;41.2394599914551
31;41.1988639831543
31;41.1999969482422
41;41.1944046020508
23;41.1969299316406
33;41.1946411132813
33;41.1883964538574
15;41.2454452514648
25;41.2000770568848
35;41.1995315551758
35;41.1787223815918
17;41.2681846618652
27;41.2034225463867
37;41.2027206420898
37;41.1741828918457
19;41.2714347839355
29;41.2067070007324
39;41.2000617980957
39;41.1751480102539
21;41.2394599914551
21;41.2040634155273
31;41.1988639831543
31;41.0385322570801
41;41.1944046020508
41;41.1784057617188
23;41.1969299316406
23;41.2025527954102
33;41.1946411132813
33;41.0290565490723
15;41.2454452514648
25;41.2000770568848
25;41.2052993774414
35;41.1995315551758
35;41.0200881958008
17;41.2681846618652
27;41.2034225463867
27;41.2093620300293
37;41.2027206420898
37;41.0144958496094
19;41.2714347839355
29;41.2067070007324
29;41.20751953125
39;41.2000617980957
39;41.0107803344727
21;41.2394599914551
31;41.1988639831543
31;41.1999969482422
41;41.1944046020508
41;41.0153465270996
23;41.1969299316406
33;41.1946411132813
33;41.1883964538574
15;41.2454452514648
25;41.2000770568848
35;41.1995315551758
35;41.1787223815918
17;41.2681846618652
27;41.2034225463867
37;41.2027206420898
37;41.1741828918457
19;41.2714347839355
29;41.2067070007324
39;41.2000617980957
39;41.1751480102539
21;41.2394599914551
21;41.2040634155273
31;41.1988639831543
41;41.1944046020508
41;41.1784057617188
23;41.1969299316406
23;41.2025527954102
33;41.1946411132813
25;41.2000770568848
25;41.2052993774414
35;41.1995315551758
27;41.2034225463867
27;41.2093620300293
37;41.2027206420898
29;41.2067070007324
29;41.20751953125
39;41.2000617980957
31;41.1988639831543
31;41.1999969482422
31;41.0385322570801
41;41.1944046020508
33;41.1946411132813
33;41.1883964538574
33;41.0290565490723
35;41.1995315551758
35;41.1787223815918
35;41.0200881958008
37;41.2027206420898
37;41.1741828918457
37;41.0144958496094
39;41.2000617980957
39;41.1751480102539
39;41.0107803344727
21;41.2040634155273
41;41.1944046020508
41;41.1784057617188
41;41.0153465270996
23;41.2025527954102
25;41.2052993774414
27;41.2093620300293
29;41.20751953125
31;41.1999969482422
33;41.1883964538574
35;41.1787223815918
37;41.1741828918457
39;41.1751480102539
21;41.2040634155273
31;41.0385322570801
41;41.1784057617188
23;41.2025527954102
33;41.0290565490723
25;41.2052993774414
35;41.0200881958008
27;41.2093620300293
37;41.0144958496094
29;41.20751953125
39;41.0107803344727
31;41.1999969482422
41;41.0153465270996
33;41.1883964538574
35;41.1787223815918
37;41.1741828918457
39;41.1751480102539
21;41.2040634155273
41;41.1784057617188
23;41.2025527954102
25;41.2052993774414
27;41.2093620300293
29;41.20751953125
31;41.1999969482422
31;41.0385322570801
33;41.1883964538574
33;41.0290565490723
35;41.1787223815918
35;41.0200881958008
37;41.1741828918457
37;41.0144958496094
39;41.1751480102539
39;41.0107803344727
41;41.1784057617188
41;41.0153465270996
31;41.0385322570801
33;41.0290565490723
35;41.0200881958008
37;41.0144958496094
39;41.0107803344727
41;41.0153465270996
31;41.0385322570801
33;41.0290565490723
35;41.0200881958008
37;41.0144958496094
39;41.0107803344727
41;41.0153465270996
Affine/Q8
Subset [pixels];Selected Point Horizontal Displacement: U
15;41.2454452514648
17;41.2681846618652
19;41.2714347839355
21;41.2394599914551
23;41.1969299316406
15;41.2454452514648
25;41.2000770568848
17;41.2681846618652
27;41.2034225463867
19;41.2714347839355
29;41.2067070007324
21;41.2394599914551
31;41.1988639831543
23;41.1969299316406
33;41.1946411132813
15;41.2454452514648
25;41.2000770568848
35;41.1995315551758
17;41.2681846618652
27;41.2034225463867
37;41.2027206420898
19;41.2714347839355
29;41.2067070007324
39;41.2000617980957
21;41.2394599914551
21;41.2040634155273
31;41.1988639831543
41;41.1944046020508
23;41.1969299316406
23;41.2025527954102
33;41.1946411132813
15;41.2454452514648
25;41.2000770568848
25;41.2052993774414
35;41.1995315551758
17;41.2681846618652
27;41.2034225463867
27;41.2093620300293
37;41.2027206420898
19;41.2714347839355
29;41.2067070007324
29;41.20751953125
39;41.2000617980957
21;41.2394599914551
31;41.1988639831543
31;41.1999969482422
41;41.1944046020508
23;41.1969299316406
33;41.1946411132813
33;41.1883964538574
15;41.2454452514648
25;41.2000770568848
35;41.1995315551758
35;41.1787223815918
17;41.2681846618652
27;41.2034225463867
37;41.2027206420898
37;41.1741828918457
19;41.2714347839355
29;41.2067070007324
39;41.2000617980957
39;41.1751480102539
21;41.2394599914551
21;41.2040634155273
31;41.1988639831543
41;41.1944046020508
41;41.1784057617188
23;41.1969299316406
23;41.2025527954102
33;41.1946411132813
25;41.2000770568848
25;41.2052993774414
35;41.1995315551758
27;41.2034225463867
27;41.2093620300293
37;41.2027206420898
29;41.2067070007324
29;41.20751953125
39;41.2000617980957
31;41.1988639831543
31;41.1999969482422
31;41.0385322570801
41;41.1944046020508
33;41.1946411132813
33;41.1883964538574
33;41.0290565490723
35;41.1995315551758
35;41.1787223815918
35;41.0200881958008
37;41.2027206420898
37;41.1741828918457
37;41.0144958496094
39;41.2000617980957
39;41.1751480102539
39;41.0107803344727
21;41.2040634155273
41;41.1944046020508
41;41.1784057617188
41;41.0153465270996
23;41.2025527954102
25;41.2052993774414
27;41.2093620300293
29;41.20751953125
31;41.1999969482422
33;41.1883964538574
35;41.1787223815918
37;41.1741828918457
39;41.1751480102539
21;41.2040634155273
31;41.0385322570801
41;41.1784057617188
23;41.2025527954102
33;41.0290565490723
25;41.2052993774414
35;41.0200881958008
27;41.2093620300293
37;41.0144958496094
29;41.20751953125
39;41.0107803344727
31;41.1999969482422
41;41.0153465270996
33;41.1883964538574
35;41.1787223815918
37;41.1741828918457
